ts,moneda,venue,vence,dias,iv_atm,straddle_pct,spread_iv,iv_atm_30d,subyacente,n
2026-09-19T21:26:00Z,BTC,bybit,2026-09-20,0.44,18.64,0.5174,1.115,34.59,81039.599312,76
2026-09-19T21:26:00Z,BTC,okx,2026-09-20,0.44,15.4064,,0.7324,34.4382,81015.961262,162
