ts,moneda,venue,vence,dias,iv_atm,straddle_pct,spread_iv,iv_atm_30d,subyacente,n
2026-09-19T21:26:00Z,SOL,bybit,2026-09-20,0.44,43.03,1.2016,6.555,53.59,110.798643,60
2026-09-19T21:26:00Z,SOL,okx,2026-09-20,0.44,44.2792,,26.6113,,110.95,60
