diseno,n_semanas,desde,sigma_sem_pct,mde_anual,costo_anual,rho,bruto,pasa
A  timing BTC (+-1),132.0,2024-01-11,5.940240721213363,75.27979954487037,10.4,,85.67979954487038,False
A  timing ETH (+-1),104.0,2024-07-23,9.589602866039835,136.91320199631878,10.4,,147.31320199631878,False
B  long-short BTC/ETH,104.0,2024-07-23,6.454546450757476,92.15320325064958,20.8,0.7557921551329029,112.95320325064958,False
C  transversal condicionado,132.0,2024-01-11,2.8649723433388465,36.40711990316203,10.42857142857143,,46.83569133173346,False
