hipotesis,n,wr,margen,p_indep,p,wr_pareado,vs_pareado,margen_sin_top3,margen_sin_top1,semanas_todas,semanas,sem_ok,fdr_ok,veredicto,lado
camino bajo,17756,50.18585266952016,-1.064147330479834,0.997775111061634,1.0,48.60616661060649,1.5796860589136656,-2.3784876488359643,-1.5688006203687692,49,49,0.4897959183673469,False,no cruza el umbral,largo
roll_sp bajo | vol,27263,50.15955690863074,-1.0904430913692522,0.9998458099214755,1.0,48.46552059812919,1.6940363105015521,-1.6127410442431227,-1.2944773906597433,49,49,0.4489795918367347,False,no cruza el umbral,largo
tk_frac_24 bajo,22198,50.13514731056852,-1.1148526894314728,0.9995654411034096,1.0,49.03943544593823,1.0957118646302888,-1.7438041554085402,-1.3858818733580875,49,49,0.42857142857142855,False,no cruza el umbral,largo
vr_h_24 bajo,19288,50.07776856076317,-1.1722314392368247,0.9994512089593421,1.0,48.69256543856262,1.3852031222005508,-1.8917608826260235,-1.4481023876550836,49,49,0.40816326530612246,False,no cruza el umbral,largo
ac1_5m alto,22998,49.878250282633275,-1.3717497173667184,0.9999846653543715,1.0,48.7078075645154,1.1704427181178758,-1.898020309090093,-1.5748748792694656,49,49,0.42857142857142855,False,no cruza el umbral,largo
centro alto,21787,49.837058796530044,-1.4129412034699484,0.9999853733254181,1.0,48.66193503959668,1.1751237569333668,-1.714727205130579,-1.5591261419211904,49,49,0.4897959183673469,False,no cruza el umbral,largo
roll_sp alto | vol,23285,49.81318445351084,-1.43681554648915,0.9999944081282498,1.0,48.6125744239482,1.2006100295626396,-2.0582408874801814,-1.7079517069109045,49,48,0.3958333333333333,False,no cruza el umbral,largo
tam_24 bajo | vol,23264,49.772180192572215,-1.4778198074277782,0.9999968500950018,1.0,49.13112705020145,0.6410531423707653,-2.0661393856029235,-1.7629221150882728,49,49,0.46938775510204084,False,no cruza el umbral,largo
centro bajo,22087,49.744193416942096,-1.5058065830578968,0.9999963354146366,1.0,48.83846005147991,0.9057333654621829,-1.8980926241985259,-1.6741539724527854,49,49,0.42857142857142855,False,no cruza el umbral,largo
centro bajo | vol,22128,49.72433116413594,-1.525668835864053,0.9999972812140115,1.0,48.83394882880308,0.890382335332859,-1.9104685414461144,-1.6892153292977028,49,49,0.42857142857142855,False,no cruza el umbral,largo
tam_24 bajo,23338,49.691490273373894,-1.5585097266260988,0.9999990781323511,1.0,49.20780972815254,0.48368054522135395,-2.1706378215378948,-1.846805336141827,49,49,0.4489795918367347,False,no cruza el umbral,largo
centro alto | vol,21843,49.654351508492425,-1.5956484915075677,0.9999988481837546,1.0,48.69914535542363,0.9552061530687936,-1.8826767091541043,-1.7238246388812115,49,49,0.4897959183673469,False,no cruza el umbral,largo
v_h bajo,21570,49.6105702364395,-1.6394297635604929,0.9999992960696602,1.0,49.50621263848048,0.104357597959023,-2.641755171893081,-1.9979806911054752,49,49,0.4897959183673469,False,no cruza el umbral,largo
vr_h_24 alto | vol,22804,49.52639887738993,-1.723601122610063,0.9999999075291945,1.0,48.80417466795413,0.7222242094358009,-2.4321405837955723,-2.050782987810301,49,49,0.4489795918367347,False,no cruza el umbral,largo
roll_sp bajo,37108,49.47989651827099,-1.7701034817290022,0.9999999999956639,1.0,48.671555058794866,0.8083414594761251,-2.2091303151231543,-1.9305400853052177,49,49,0.42857142857142855,False,no cruza el umbral,largo
tk_frac_24 bajo | vol,21489,49.47647633673042,-1.7735236632695717,0.9999999046136779,1.0,49.14204920942002,0.3344271273103985,-2.41111004047022,-2.057244138705599,49,49,0.42857142857142855,False,no cruza el umbral,largo
tk_frac_24 alto,22004,49.36375204508271,-1.8862479549172804,0.9999999895582008,1.0,48.75037074660981,0.6133812984729019,-2.6807264413331424,-2.2918587497694887,49,49,0.46938775510204084,False,no cruza el umbral,largo
tam bajo | vol,22955,49.30951862339359,-1.9404813766063995,0.9999999980508453,1.0,49.22318484619154,0.08633377720205004,-2.478506891624022,-2.225414216996249,49,49,0.46938775510204084,False,no cruza el umbral,largo
vr_h_24 alto,23027,49.22048030572806,-2.029519694271933,0.9999999996541341,1.0,48.888735758596404,0.331744547131656,-2.610529020151013,-2.29821342240583,49,49,0.4489795918367347,False,no cruza el umbral,largo
