feature,n,lift,p_up,p_dn,simetria,lift_sin_top3,ventanas_ok,n_ventanas
atr_24 alto,1557,1.6844636632396417,0.17341040462427745,0.24020552344251767,0.7219251336898396,1.5635799530004455,0.8863636363636364,44
vol_24 alto,1557,1.6283148744649871,0.1676300578034682,0.22350674373795762,0.75,1.5129020900518433,0.8636363636363636,44
rango_168 alto,1557,1.590882348615217,0.16377649325626203,0.22157996146435452,0.7391304347826086,1.4809897236254967,0.9772727272727273,44
vol_168 alto,1557,1.5409723141488574,0.15863840719332048,0.2382787411689146,0.6657681940700808,1.4063664636183721,0.8636363636363636,44
dd_720 bajo,1513,1.4317013365085292,0.14738929279576998,0.1877065432914739,0.7852112676056336,1.317573100187538,0.8636363636363636,44
dd_168 bajo,1513,1.361079297487929,0.14011896893588896,0.17580964970257765,0.7969924812030076,1.292932350618584,0.75,44
roc_72 alto,1557,1.3475709305917132,0.13872832369942195,0.15350032113037893,0.903765690376569,1.2319551311294263,0.6818181818181818,44
compresion alto,1557,1.3350934219751234,0.13744380218368657,0.15285806037251123,0.8991596638655462,1.2517377579033482,0.7272727272727273,44
roc_24 alto,1557,1.2914221418170586,0.1329479768786127,0.15606936416184972,0.8518518518518517,1.188519831172503,0.75,44
roc_720 bajo,1484,1.2502186169008869,0.12870619946091644,0.1495956873315364,0.8603603603603603,1.1710641806527118,0.7209302325581395,43
roc_24 bajo,1516,1.2494587000745232,0.12862796833773088,0.1550131926121372,0.8297872340425533,1.1587624949915964,0.7272727272727273,44
roc_168 alto,1558,1.234480494664328,0.12708600770218229,0.17329910141206675,0.7333333333333333,1.1145852960497837,0.6818181818181818,44
rs_168 alto,1558,1.234480494664328,0.12708600770218229,0.17329910141206675,0.7333333333333333,1.1145852960497837,0.6818181818181818,44
roc_720 alto,1527,1.2277353689567432,0.12639161755075312,0.1741977734119188,0.7255639097744361,1.0594399954208882,0.6976744186046512,43
roc_168 bajo,1513,1.2134150340812198,0.12491738268341045,0.14805023132848646,0.84375,1.132276495106074,0.6818181818181818,44
rs_168 bajo,1513,1.2134150340812198,0.12491738268341045,0.14805023132848646,0.84375,1.132276495106074,0.6818181818181818,44
roc_72 bajo,1513,1.0785911414055287,0.11103767349636484,0.1427627230667548,0.7777777777777777,0.9971276744801532,0.6818181818181818,44
pos_168 bajo,1513,1.0657507706745104,0.10971579643093192,0.13218770654329148,0.83,0.9845900192137924,0.5681818181818182,44
pos_168 alto,1558,1.0536727454458152,0.10847240051347883,0.12259306803594351,0.8848167539267017,0.9303119989512642,0.5,44
compresion bajo,1513,0.7511616877645647,0.07732980832782552,0.09517514871116986,0.8125,0.6730988632592101,0.3409090909090909,44
dd_720 alto,1557,0.7112179911456266,0.07321772639691715,0.08285163776493257,0.883720930232558,0.5807821167407289,0.2727272727272727,44
dd_168 alto,1557,0.6550692023709718,0.0674373795761079,0.07064868336544637,0.9545454545454546,0.5537977849589307,0.25,44
rango_168 bajo,1513,0.5071946438752188,0.05221414408460013,0.040978189028420355,1.2741935483870968,0.4160201555778123,0.06818181818181818,44
vol_24 bajo,1513,0.449412975585637,0.046265697290152015,0.031064111037673495,1.4893617021276597,0.36557087745218747,0.11363636363636363,44
vol_168 bajo,1513,0.4108918633925823,0.04230006609385327,0.037012557832121616,1.1428571428571428,0.33427851778595047,0.045454545454545456,44
atr_24 bajo,1513,0.4044716780270733,0.041639127561136816,0.034368803701255786,1.2115384615384615,0.33654943162960504,0.09090909090909091,44
