hipotesis,n,wr,margen,p_indep,p,wr_pareado,vs_pareado,margen_sin_top3,margen_sin_top1,semanas_todas,semanas,sem_ok,fdr_ok,veredicto,dir
ll_qv_lo_24 alto,22049,45.82520749240329,-5.424792507596706,1.0,1.0,48.60532661459839,-2.780119122195103,-5.811791539950228,-5.606354347231083,48,47,0.3404255319148936,False,no cruza el umbral,largo
ll_qv_lo_6 bajo,22125,45.81694915254238,-5.433050847457615,1.0,1.0,48.58481697905764,-2.767867826515264,-5.766217954608095,-5.593379244511105,48,48,0.5625,False,no cruza el umbral,largo
ll_qv_hi_1 alto | vol,21916,45.81127943055302,-5.438720569446971,1.0,1.0,48.63605534560921,-2.824775915056186,-5.812693677443221,-5.619690011481055,48,48,0.3958333333333333,False,no cruza el umbral,largo
ll_tk_hi_6 bajo,22139,45.765391390758396,-5.484608609241597,1.0,1.0,48.60190152842478,-2.8365101376663873,-5.801686317521245,-5.655016129765087,48,48,0.5625,False,no cruza el umbral,largo
ll_vol_lo_24 alto | vol,21941,45.65881226926758,-5.591187730732415,1.0,1.0,48.62500524913935,-2.9661929798717708,-5.9934768503499,-5.773361914805804,48,48,0.375,False,no cruza el umbral,largo
ll_tk_lo_1 alto,22088,45.631111915972475,-5.6188880840275175,1.0,1.0,48.65105389730143,-3.019941981328955,-5.951681640175067,-5.74412621801293,48,48,0.3958333333333333,False,no cruza el umbral,largo
ll_amihud_hi_12 bajo | vol,21829,45.622795363965366,-5.627204636034627,1.0,1.0,48.58028970468254,-2.957494340717176,-6.025176514306942,-5.829835808504747,48,48,0.5,False,no cruza el umbral,largo
ll_amihud_hi_6 bajo | vol,21943,45.59540627990703,-5.6545937200929615,1.0,1.0,48.55480281515854,-2.959396535251507,-6.021247864826179,-5.833811052510889,48,48,0.5208333333333334,False,no cruza el umbral,largo
ll_qv_lo_24 alto | vol,22043,45.59270516717325,-5.657294832826743,1.0,1.0,48.635280577088054,-3.0425754099148037,-6.054500184433785,-5.843163875325146,48,48,0.3541666666666667,False,no cruza el umbral,largo
ll_amihud_lo_24 alto | vol,22051,45.57616434628815,-5.673835653711841,1.0,1.0,48.62996539844877,-3.0538010521606154,-6.097632658706367,-5.862226277372251,48,47,0.3829787234042553,False,no cruza el umbral,largo
ll_amihud_hi_1 alto,22106,45.57586175698905,-5.674138243010944,1.0,1.0,48.65952091968347,-3.083659162694424,-6.004777803361726,-5.797108866748552,48,48,0.3958333333333333,False,no cruza el umbral,largo
ll_vol_lo_1 alto | vol,21907,45.57447391244808,-5.675526087551916,1.0,1.0,48.662753381080584,-3.088279468632507,-6.072830074768952,-5.850606673407476,48,48,0.375,False,no cruza el umbral,largo
ll_tk_hi_24 alto,22075,45.56285390713477,-5.68714609286522,1.0,1.0,48.62169161942923,-3.058837712294455,-6.084552901652167,-5.853854389721619,48,46,0.391304347826087,False,no cruza el umbral,largo
ll_amihud_lo_6 alto | vol,21909,45.52467022684741,-5.7253297731525805,1.0,1.0,48.62966876950328,-3.1049985426558706,-6.10730222180905,-5.916972898484147,48,47,0.44680851063829785,False,no cruza el umbral,largo
ll_qv_spread_24 alto | vol,22022,45.50449550449551,-5.745504495504484,1.0,1.0,48.650395270350565,-3.145899765855056,-6.161931949516891,-5.912159075334635,47,44,0.38636363636363635,False,no cruza el umbral,largo
ll_vol_lo_1 alto,22093,45.494047888471464,-5.755952111528529,1.0,1.0,48.70738496928897,-3.213337080817503,-6.142832449873232,-5.903492395956647,48,48,0.3541666666666667,False,no cruza el umbral,largo
ll_tk_hi_6 alto,22138,45.451260276447734,-5.798739723552259,1.0,1.0,48.67536529940672,-3.2241050229589874,-6.17051823945603,-5.985072253021897,48,48,0.3958333333333333,False,no cruza el umbral,largo
ll_tk_hi_24 alto | vol,22019,45.36082474226804,-5.889175257731949,1.0,1.0,48.621405501128706,-3.2605807588606623,-6.2850747646298615,-6.055408368353731,48,46,0.391304347826087,False,no cruza el umbral,largo
ll_vol_lo_24 bajo,22061,45.32432799963737,-5.925672000362624,1.0,1.0,48.65867461653084,-3.3343466168934697,-6.255283226903103,-6.082679857755075,46,44,0.4090909090909091,False,no cruza el umbral,largo
ll_amihud_hi_1 alto | vol,21952,45.28061224489796,-5.969387755102034,1.0,1.0,48.61636785364582,-3.33575560874786,-6.298633626679006,-6.117986798679858,48,48,0.375,False,no cruza el umbral,largo
ll_qv_hi_24 alto | vol,22092,45.27430744160782,-5.975692558392176,1.0,1.0,48.64636910988545,-3.372061668277631,-6.408456372751935,-6.1571376547705725,48,45,0.35555555555555557,False,no cruza el umbral,largo
ll_vol_hi_12 bajo,22166,45.19534422087882,-6.05465577912117,1.0,1.0,48.60686082979785,-3.4115166089190296,-6.40856719142139,-6.24092558983665,48,48,0.4166666666666667,False,no cruza el umbral,largo
ll_qv_spread_24 alto,22079,45.110738710992344,-6.139261289007649,1.0,1.0,48.681371724490276,-3.5706330134979325,-6.547860568056059,-6.294868582881605,47,44,0.38636363636363635,False,no cruza el umbral,largo
ll_qv_hi_24 alto,22108,45.083227790844944,-6.166772209155049,1.0,1.0,48.634573168506485,-3.5513453776615407,-6.600248207391054,-6.352133660888946,48,45,0.35555555555555557,False,no cruza el umbral,largo
ll_amihud_hi_6 bajo,22136,45.044271774485,-6.205728225514996,1.0,1.0,48.596497122603054,-3.552225348118057,-6.520733379026723,-6.379952744456553,48,48,0.5416666666666666,False,no cruza el umbral,largo
ll_qv_hi_6 alto | vol,21976,45.00819075354933,-6.241809246450664,1.0,1.0,48.625833432585296,-3.617642679035967,-6.61864544232818,-6.429045700155683,48,48,0.4166666666666667,False,no cruza el umbral,largo
ll_amihud_hi_12 bajo,22099,44.97488574143627,-6.275114258563725,1.0,1.0,48.634982616820594,-3.660096875384326,-6.608696149796266,-6.445012060255756,48,46,0.45652173913043476,False,no cruza el umbral,largo
ll_amihud_lo_6 alto,22139,44.93879579023442,-6.31120420976557,1.0,1.0,48.64273816177463,-3.703942371540208,-6.678834214762006,-6.491037757281106,48,48,0.4166666666666667,False,no cruza el umbral,largo
ll_qv_hi_6 alto,22060,44.63735267452403,-6.612647325475962,1.0,1.0,48.65061881549095,-4.01326614096692,-6.987099603064706,-6.794915640674866,48,48,0.4166666666666667,False,no cruza el umbral,largo
ll_qv_lo_12 bajo,22096,44.537472845763936,-6.7125271542360565,1.0,1.0,48.644918800711636,-4.1074459549477,-7.065980185304092,-6.8809176984704905,47,46,0.4782608695652174,False,no cruza el umbral,largo
ll_tk_hi_1 alto,22068,44.0547398948704,-7.1952601051295915,1.0,1.0,48.687281091012544,-4.632541196142142,-7.576135105204862,-7.3470050599443795,48,48,0.3958333333333333,False,no cruza el umbral,largo
ll_tk_hi_1 alto | vol,21868,44.041521858423266,-7.208478141576727,1.0,1.0,48.6460299078626,-4.604508049439332,-7.605675625320224,-7.387200736648246,48,48,0.375,False,no cruza el umbral,largo
ll_tk_hi_1 alto | vol,21868,55.95847814157673,4.708478141576734,2.2888048768747454e-44,0.1735,51.3539700921374,4.604508049439325,4.493054260675002,4.631270133456056,48,48,0.625,False,muere en la correccion (FDR q=0.1),corto
ll_tk_hi_1 alto,22068,55.9452601051296,4.695260105129606,1.6284730229972628e-44,0.1835,51.312718908987456,4.632541196142142,4.494661224113287,4.62511394712854,48,48,0.6041666666666666,False,muere en la correccion (FDR q=0.1),corto
ll_qv_lo_12 bajo,22096,55.462527154236064,4.212527154236071,2.8727950507398037e-36,0.8945,51.35508119928836,4.107445954947707,3.9967855661551255,4.126980513567659,47,46,0.5217391304347826,False,muere en la correccion (FDR q=0.1),corto
ll_qv_hi_6 alto,22060,55.362647325475976,4.112647325475983,1.3118270781151322e-34,0.1335,51.34938118450905,4.013266140966927,3.8968215553404377,4.039557683538547,48,48,0.5833333333333334,False,muere en la correccion (FDR q=0.1),corto
ll_amihud_lo_6 alto,22139,55.06120420976557,3.8112042097655774,4.2367423418394835e-30,0.1085,51.35726183822538,3.703942371540194,3.580551340414779,3.7320527965832184,48,48,0.5833333333333334,False,muere en la correccion (FDR q=0.1),corto
ll_amihud_hi_12 bajo,22099,55.02511425856373,3.7751142585637396,1.6126569416342007e-29,0.898,51.3650173831794,3.6600968753843333,3.5631422515091558,3.67534595775674,48,46,0.5217391304347826,False,muere en la correccion (FDR q=0.1),corto
ll_qv_hi_6 alto | vol,21976,54.99180924645067,3.7418092464506785,6.962472789552516e-29,0.1485,51.374166567414704,3.617642679035967,3.5073805440978845,3.65366573612193,48,48,0.5833333333333334,False,muere en la correccion (FDR q=0.1),corto
ll_amihud_hi_6 bajo,22136,54.955728225515,3.70572822551501,1.4700222326335815e-28,0.8015,51.403502877396946,3.552225348118057,3.4786108555657833,3.6222843377874767,48,48,0.4166666666666667,False,muere en la correccion (FDR q=0.1),corto
ll_qv_hi_24 alto,22108,54.91677220915506,3.66677220915507,5.715424166029234e-28,0.0075,51.36542683149351,3.551345377661555,3.3930216490096754,3.5606681230657244,48,45,0.6444444444444445,False,muere en la correccion (FDR q=0.1),corto
ll_qv_spread_24 alto,22079,54.88926128900765,3.6392612890076563,1.5132128761576247e-27,0.3185,51.318628275509724,3.5706330134979254,3.4249654218533934,3.5646123713218643,47,44,0.5909090909090909,False,muere en la correccion (FDR q=0.1),corto
ll_vol_hi_12 bajo,22166,54.804655779121184,3.554655779121191,1.8230351967354117e-26,0.865,51.39313917020214,3.411516608919044,3.3292761344846653,3.4674948944860446,48,48,0.5416666666666666,False,muere en la correccion (FDR q=0.1),corto
ll_qv_hi_24 alto | vol,22092,54.72569255839218,3.47569255839219,2.6157498194577955e-25,0.008,51.353630890114566,3.3720616682776168,3.2087308170883446,3.3724610620275115,48,45,0.6444444444444445,False,muere en la correccion (FDR q=0.1),corto
ll_amihud_hi_1 alto | vol,21952,54.71938775510205,3.469387755102055,4.468988707070821e-25,0.329,51.38363214635419,3.33575560874786,3.2456344046071024,3.392153042043013,48,48,0.6041666666666666,False,muere en la correccion (FDR q=0.1),corto
ll_vol_lo_24 bajo,22061,54.67567200036263,3.4256720003626384,1.3124961844523267e-24,0.8405,51.34132538346916,3.3343466168934697,3.2199312318272106,3.3485135196753504,46,44,0.4772727272727273,False,muere en la correccion (FDR q=0.1),corto
ll_tk_hi_24 alto | vol,22019,54.63917525773196,3.3891752577319636,4.381053945421225e-24,0.0165,51.3785944988713,3.2605807588606552,3.155846708913458,3.3029309635856947,48,46,0.6086956521739131,False,muere en la correccion (FDR q=0.1),corto
ll_tk_hi_6 alto,22138,54.548739723552266,3.2987397235522735,4.967111481026467e-23,0.0845,51.32463470059327,3.2241050229589945,3.0820470415288597,3.226086660307949,48,48,0.6041666666666666,False,muere en la correccion (FDR q=0.1),corto
ll_vol_lo_1 alto,22093,54.50595211152854,3.2559521115285506,1.9178575190443554e-22,0.2075,51.29261503071103,3.21333708081751,3.0428245541269234,3.1795729764181146,48,48,0.6458333333333334,False,muere en la correccion (FDR q=0.1),corto
ll_qv_spread_24 alto | vol,22022,54.4955044955045,3.2455044955045054,3.0213845098630924e-22,0.3535,51.349604729649435,3.145899765855063,3.0293730059647785,3.1717065594737903,47,44,0.5909090909090909,False,muere en la correccion (FDR q=0.1),corto
ll_amihud_lo_6 alto | vol,21909,54.47532977315258,3.2253297731525876,6.8519702914083165e-22,0.172,51.370331230496724,3.1049985426558564,2.98523942352395,3.1451501791127114,48,47,0.5531914893617021,False,muere en la correccion (FDR q=0.1),corto
ll_tk_hi_24 alto,22075,54.43714609286523,3.187146092865234,1.440895107333496e-21,0.018,51.37830838057078,3.058837712294448,2.9410781012132716,3.095349314132079,48,46,0.6086956521739131,False,muere en la correccion (FDR q=0.1),corto
ll_vol_lo_1 alto | vol,21907,54.42552608755192,3.1755260875519298,2.8235922325577954e-21,0.1995,51.337246618919416,3.088279468632507,2.947266895974721,3.091839544703511,48,48,0.625,False,muere en la correccion (FDR q=0.1),corto
ll_amihud_hi_1 alto,22106,54.424138243010944,3.174138243010951,1.956920459761179e-21,0.342,51.34047908031653,3.083659162694417,2.9502672687894673,3.099706377748447,48,48,0.5833333333333334,False,muere en la correccion (FDR q=0.1),corto
ll_amihud_lo_24 alto | vol,22051,54.42383565371185,3.173835653711855,2.207923693038609e-21,0.0345,51.370034601551225,3.0538010521606225,2.8972420955458205,3.068171449427439,48,47,0.6170212765957447,False,muere en la correccion (FDR q=0.1),corto
ll_qv_lo_24 alto | vol,22043,54.40729483282675,3.157294832826757,3.5790946997473535e-21,0.0155,51.36471942291194,3.042575409914811,2.9099297824178905,3.067663167503433,48,48,0.6458333333333334,False,muere en la correccion (FDR q=0.1),corto
ll_amihud_hi_6 bajo | vol,21943,54.40459372009296,3.1545937200929686,4.72319099859391e-21,0.7925,51.44519718484146,2.9593965352515,2.9247933500510968,3.0727996147319274,48,48,0.4583333333333333,False,muere en la correccion (FDR q=0.1),corto
ll_amihud_hi_12 bajo | vol,21829,54.377204636034634,3.127204636034641,1.2700928929754462e-20,0.9215,51.419710295317465,2.9574943407171688,2.8816133856795716,3.038085577277762,48,48,0.5,False,muere en la correccion (FDR q=0.1),corto
ll_tk_lo_1 alto,22088,54.368888084027525,3.1188880840275317,9.593340367129035e-21,0.1845,51.34894610269857,3.019941981328955,2.8903330719195495,3.032328273850233,48,48,0.6041666666666666,False,muere en la correccion (FDR q=0.1),corto
ll_vol_lo_24 alto | vol,21941,54.34118773073242,3.091187730732429,2.7495284246384687e-20,0.0325,51.37499475086065,2.9661929798717708,2.835801838610834,3.0036115569823494,48,48,0.6041666666666666,False,muere en la correccion (FDR q=0.1),corto
ll_tk_hi_6 bajo,22139,54.234608609241604,2.9846086092416115,3.4110201445427116e-19,0.8625,51.398098471575224,2.83651013766638,2.7834084947770563,2.9145839960012765,48,48,0.3958333333333333,False,muere en la correccion (FDR q=0.1),corto
ll_qv_hi_1 alto | vol,21916,54.18872056944698,2.9387205694469856,1.704488353269719e-18,0.3285,51.36394465439079,2.824775915056186,2.7098438371444544,2.8451244146543146,48,48,0.5625,False,muere en la correccion (FDR q=0.1),corto
ll_qv_lo_6 bajo,22125,54.18305084745762,2.933050847457629,1.3724447954095235e-18,0.901,51.415183020942365,2.767867826515257,2.701969083548043,2.8556651814131158,48,48,0.4166666666666667,False,muere en la correccion (FDR q=0.1),corto
ll_qv_lo_24 alto,22049,54.17479250759671,2.9247925075967203,1.9448147483998576e-18,0.015,51.39467338540161,2.780119122195103,2.6899538106235568,2.8337744113889514,48,47,0.6382978723404256,False,muere en la correccion (FDR q=0.1),corto
ll_amihud_lo_24 alto,22131,54.16836112240748,2.9183611224074895,1.9965731582230843e-18,0.0465,51.37014922455977,2.7982118978477146,2.648164757830834,2.809829059829063,48,47,0.6170212765957447,False,muere en la correccion (FDR q=0.1),corto
ll_vol_lo_24 alto,22116,54.146319406764334,2.8963194067643414,3.6383913001538264e-18,0.035,51.36264794861096,2.7836714581533712,2.6570774047980947,2.8120451237263495,48,48,0.5833333333333334,False,muere en la correccion (FDR q=0.1),corto
ll_tk_lo_24 alto,22151,54.060764751027044,2.810764751027051,3.069205345799446e-17,0.07,51.377236780817704,2.68352797020934,2.559370545772225,2.719479516759016,48,47,0.5957446808510638,False,muere en la correccion (FDR q=0.1),corto
ll_tk_hi_6 alto | vol,21951,54.05676278985012,2.8067627898501257,4.674480691451897e-17,0.117,51.34905984551787,2.7077029443322473,2.570120537783964,2.7251638179902002,48,48,0.5625,False,muere en la correccion (FDR q=0.1),corto
ll_tk_lo_12 bajo,22095,54.048427245983255,2.7984272459832624,4.5778550882348507e-17,0.9275,51.33509487980371,2.713332366179543,2.5709808259587064,2.713844997950922,47,47,0.5106382978723404,False,muere en la correccion (FDR q=0.1),corto
ll_tk_lo_1 alto | vol,21903,54.03825959914167,2.788259599141675,7.994208417086619e-17,0.2335,51.38079731977852,2.657462279363145,2.533507073715569,2.6922900202168805,48,48,0.6041666666666666,False,muere en la correccion (FDR q=0.1),corto
ll_amihud_lo_24 bajo,22109,54.00515627120177,2.755156271201777,1.3151636819900208e-16,0.765,51.3427180420561,2.662438229145671,2.517501842299197,2.670007280338538,47,44,0.5,False,muere en la correccion (FDR q=0.1),corto
ll_qv_lo_1 alto,22183,53.955731866744806,2.705731866744813,3.9540001415318274e-16,0.3295,51.313782129672404,2.6419497370724017,2.457359625361555,2.6146466479180006,48,48,0.6041666666666666,False,muere en la correccion (FDR q=0.1),corto
ll_qv_hi_1 alto,22057,53.94659291834791,2.6965929183479176,5.948516962741276e-16,0.27,51.33000214382264,2.616590774525271,2.4853402899621457,2.6066801988779034,48,48,0.5625,False,muere en la correccion (FDR q=0.1),corto
ll_tk_lo_24 alto | vol,22041,53.92677283244862,2.676772832448627,9.809181622556514e-16,0.0665,51.36432659992808,2.562446232520543,2.434453684453686,2.5835158817086565,48,47,0.574468085106383,False,muere en la correccion (FDR q=0.1),corto
ll_tk_lo_6 bajo | vol,21955,53.9011614666363,2.65116146663631,2.042808216327422e-15,0.823,51.45417579567544,2.4469856709608635,2.35642794110818,2.5527781598129664,48,48,0.4375,False,muere en la correccion (FDR q=0.1),corto
ll_tk_lo_6 bajo,22180,53.89990982867449,2.6499098286744953,1.5261821236797451e-15,0.824,51.41299905281088,2.486910775863606,2.4196194978657033,2.5710349675722313,48,48,0.4375,False,muere en la correccion (FDR q=0.1),corto
ll_tk_spread_1 alto | vol,22004,53.87202326849664,2.6220232684966476,3.785097658702685e-15,0.4225,51.33330742000935,2.5387158484872927,2.391158508374204,2.5342410938857753,48,48,0.4791666666666667,False,muere en la correccion (FDR q=0.1),corto
ll_vol_lo_6 bajo | vol,21879,53.841583253347956,2.591583253347963,9.128651792654452e-15,0.857,51.443662880623684,2.397920372724272,2.364879037896806,2.5094849390664535,48,48,0.4166666666666667,False,muere en la correccion (FDR q=0.1),corto
ll_tk_hi_6 bajo | vol,21938,53.82897255903,2.5789725590300066,1.126335777761365e-14,0.9035,51.45334292714278,2.3756296318872216,2.326906986473304,2.484972928328901,48,48,0.4166666666666667,False,muere en la correccion (FDR q=0.1),corto
ll_tk_spread_1 alto,22004,53.785675331757865,2.535675331757872,2.7742098593906972e-14,0.4425,51.34021987285847,2.4454554588993958,2.3032525215138477,2.449469544539973,48,48,0.4791666666666667,False,muere en la correccion (FDR q=0.1),corto
ll_tk_lo_24 bajo,22106,53.76820772640912,2.5182077264091305,3.610208051298596e-14,0.8705,51.35301414823812,2.4151935781710065,2.287866224433394,2.4179712387366976,47,45,0.5111111111111111,False,muere en la correccion (FDR q=0.1),corto
ll_qv_lo_12 bajo | vol,21806,53.76501880216454,2.5150188021645477,5.710512867626408e-14,0.951,51.41313699881941,2.3518818033451296,2.257089045903328,2.4107884775182455,48,47,0.48936170212765956,False,muere en la correccion (FDR q=0.1),corto
ll_amihud_lo_12 alto | vol,21992,53.74226991633321,2.492269916333214,7.481390671101674e-14,0.0905,51.40566408728484,2.3366058290483664,2.24257047632274,2.406415888705851,48,47,0.5957446808510638,False,muere en la correccion (FDR q=0.1),corto
ll_qv_spread_12 alto | vol,22008,53.7350054525627,2.48500545256271,8.620169089358945e-14,0.3345,51.3491750909989,2.385830361563805,2.2634384974788446,2.4030724213606547,48,47,0.5531914893617021,False,muere en la correccion (FDR q=0.1),corto
ll_tk_hi_12 bajo,22099,53.6947373184307,2.444737318430704,1.8775719696424778e-13,0.9605,51.35587795264248,2.338859365788217,2.2298028649071924,2.359796067006563,48,48,0.5,False,muere en la correccion (FDR q=0.1),corto
ll_qv_lo_6 bajo | vol,21933,53.68622623444125,2.436226234441257,2.766872894957871e-13,0.8565,51.4471212753443,2.2391049590969487,2.1824198792382745,2.3409320361617247,48,48,0.4166666666666667,False,muere en la correccion (FDR q=0.1),corto
ll_vol_hi_1 alto,22071,53.663177925784964,2.4131779257849715,3.8696957054213695e-13,0.3705,51.338729869067436,2.3244480567175287,2.1935007385524514,2.332668187001147,48,48,0.5625,False,muere en la correccion (FDR q=0.1),corto
ll_vol_hi_12 bajo | vol,21820,53.661778185151235,2.411778185151242,5.372225619187175e-13,0.943,51.445282721312665,2.2164954638385694,2.137255131142183,2.3066011624688727,48,48,0.4791666666666667,False,muere en la correccion (FDR q=0.1),corto
ll_tk_hi_12 alto,22055,53.6386306959873,2.3886306959873096,6.697952128292073e-13,0.088,51.36181509537965,2.276815600607655,2.154687211662676,2.305626510970221,48,48,0.5833333333333334,False,muere en la correccion (FDR q=0.1),corto
ll_qv_spread_12 alto,22044,53.624569043730716,2.374569043730723,9.165941815880645e-13,0.3505,51.31800526514467,2.306563778586046,2.146130581336294,2.2938820683674948,48,47,0.5531914893617021,False,muere en la correccion (FDR q=0.1),corto
ll_vol_hi_1 alto | vol,21975,53.610921501706486,2.3609215017064926,1.325490812350437e-12,0.3955,51.366740612980536,2.24418088872595,2.1272499536092155,2.2769329424697773,48,48,0.5625,False,muere en la correccion (FDR q=0.1),corto
ll_vol_hi_24 alto | vol,22151,53.49194167306216,2.241941673062165,1.2893062432593141e-11,0.0305,51.36102651594609,2.130915157116071,2.013215909612832,2.162341642827961,48,47,0.6170212765957447,False,muere en la correccion (FDR q=0.1),corto
ll_vol_spread_6 bajo,22169,53.48459560647751,2.2345956064775194,1.468892771219066e-11,0.907,51.35863719976571,2.1259584067118027,1.9583964907445761,2.1329468620955794,48,48,0.4583333333333333,False,muere en la correccion (FDR q=0.1),corto
ll_qv_lo_1 alto | vol,21944,53.46791833758658,2.217918337586589,2.5784949621211672e-11,0.322,51.348019681746884,2.119898655839698,1.9468240702047694,2.1181845279038924,48,48,0.6041666666666666,False,muere en la correccion (FDR q=0.1),corto
ll_vol_lo_6 alto | vol,21866,53.46656910271654,2.216569102716548,2.864634337009763e-11,0.249,51.37929502436669,2.08727407834985,1.9756563023645626,2.133908045977023,48,47,0.574468085106383,False,muere en la correccion (FDR q=0.1),corto
ll_amihud_lo_12 alto,22075,53.417893544733865,2.1678935447338716,6.083050715790725e-11,0.108,51.367942432154955,2.04995111257891,1.940410327339798,2.090924618537926,48,47,0.574468085106383,False,muere en la correccion (FDR q=0.1),corto
ll_tk_hi_12 alto | vol,21985,53.377302706390715,2.127302706390722,1.4533592026830473e-10,0.0835,51.38970435034247,1.9875983560482453,1.8981481481481524,2.046452084857357,48,48,0.5833333333333334,False,muere en la correccion (FDR q=0.1),corto
ll_vol_hi_6 alto,22070,53.27594019030359,2.0259401903035936,9.015902129694927e-10,0.282,51.371109434998864,1.9048307553047223,1.7972895040369181,1.9447862546714205,48,48,0.5833333333333334,False,muere en la correccion (FDR q=0.1),corto
ll_qv_hi_6 bajo,22090,53.245812584880035,1.995812584880042,1.535481866860124e-09,0.8385,51.41884411840427,1.826968466475762,1.7724843346848544,1.9169778243249382,48,48,0.4166666666666667,False,muere en la correccion (FDR q=0.1),corto
ll_amihud_lo_6 bajo | vol,21832,53.17882008061561,1.9288200806156155,6.17118817659328e-09,0.9415,51.44490220185596,1.733917878759648,1.6848587438711249,1.8451832219405375,48,48,0.3958333333333333,False,muere en la correccion (FDR q=0.1),corto
ll_tk_spread_6 bajo,22137,53.14179879839184,1.8917987983918465,9.304160611236589e-09,0.4685,51.34511102388083,1.7966877745110068,1.6914470355549511,1.8240219021220554,48,48,0.5416666666666666,False,muere en la correccion (FDR q=0.1),corto
ll_tk_hi_24 bajo,22153,53.13952963481244,1.8895296348124475,9.561936084954861e-09,0.7575,51.34965092632071,1.7898787084917274,1.6320559889857833,1.7702561540557724,46,40,0.575,False,muere en la correccion (FDR q=0.1),corto
ll_vol_spread_6 bajo | vol,22022,53.06057578784852,1.8105757878485278,3.966191046730067e-08,0.8935,51.400546543536095,1.660029244312426,1.537037037037038,1.7183286869887127,48,48,0.4166666666666667,False,muere en la correccion (FDR q=0.1),corto
ll_amihud_lo_6 bajo,22074,53.05336595089245,1.8033659508924558,4.311542220010356e-08,0.924,51.40061034969723,1.6527556011952171,1.5970653326571167,1.7324561403508838,48,48,0.4375,False,muere en la correccion (FDR q=0.1),corto
ll_vol_lo_12 alto,22062,52.9961018946605,1.7461018946605051,1.0978549374710144e-07,0.197,51.37792011429412,1.6181817803663776,1.5189399179231842,1.6689263090735196,48,48,0.5625,False,muere en la correccion (FDR q=0.1),corto
ll_tk_lo_6 alto,22079,52.99153041351511,1.7415304135151146,1.1681701224975924e-07,0.173,51.34658446363114,1.6449459498839687,1.5111321102609097,1.6587513097353295,48,48,0.5833333333333334,False,muere en la correccion (FDR q=0.1),corto
ll_qv_spread_1 bajo,22052,52.9883910756394,1.7383910756394059,1.2488728695970009e-07,0.424,51.34334419820168,1.6450468774377214,1.4957314259344798,1.6485176738882643,48,48,0.5208333333333334,False,muere en la correccion (FDR q=0.1),corto
ll_vol_lo_6 alto,22039,52.978810290848045,1.7288102908480525,1.4650340425202391e-07,0.2525,51.34276787249657,1.6360424183514723,1.4838162690905818,1.6404503353561282,48,47,0.5957446808510638,False,muere en la correccion (FDR q=0.1),corto
ll_qv_hi_12 alto,22148,52.961892721690454,1.711892721690461,1.7882520280722188e-07,0.076,51.35407895634049,1.6078137653499667,1.5058331802314981,1.6433502906976756,48,47,0.574468085106383,False,muere en la correccion (FDR q=0.1),corto
ll_tk_spread_6 bajo | vol,22051,52.959049476214226,1.7090494762142328,1.9829873226066322e-07,0.4645,51.36734296714658,1.5917065090676488,1.5143288606077405,1.6407922912205635,48,48,0.5625,False,muere en la correccion (FDR q=0.1),corto
ll_vol_hi_24 alto,22167,52.9570983894979,1.707098389497908,1.9058701595360646e-07,0.0355,51.382377460146614,1.5747209293512867,1.4753524360564043,1.6230936819172257,48,46,0.6086956521739131,False,muere en la correccion (FDR q=0.1),corto
ll_amihud_hi_24 bajo,22112,52.939580318379164,1.6895803183791713,2.5877319985243383e-07,0.8645,51.361462176143135,1.578118142236029,1.444114396242064,1.5707461328480505,46,41,0.4878048780487805,False,muere en la correccion (FDR q=0.1),corto
ll_qv_spread_1 bajo | vol,22033,52.93423501111968,1.6842350111196893,2.94455758336978e-07,0.412,51.36249622338488,1.5717387877348017,1.437277600628498,1.5969019679466783,48,48,0.5208333333333334,False,muere en la correccion (FDR q=0.1),corto
ll_tk_hi_12 bajo | vol,21814,52.915558815439624,1.6655588154396312,4.4463643355075773e-07,0.9605,51.432045557896856,1.4835132575427679,1.3970863342998854,1.5608557186375052,48,48,0.4791666666666667,False,muere en la correccion (FDR q=0.1),corto
ll_vol_hi_6 alto | vol,21931,52.83388810359765,1.5838881035976584,1.393597727018628e-06,0.279,51.40236727602097,1.4315208275766835,1.3392898611304673,1.5013883152049274,48,48,0.5833333333333334,False,muere en la correccion (FDR q=0.1),corto
ll_vol_spread_1 alto | vol,22007,52.79683736992775,1.5468373699277578,2.2799158718128595e-06,0.4305,51.38839467848012,1.4084426914476325,1.3028861732166916,1.463887237642325,48,48,0.5416666666666666,False,muere en la correccion (FDR q=0.1),corto
ll_qv_lo_24 bajo,22180,52.772768259693414,1.5227682596934216,2.9435485335217236e-06,0.9165,51.349744318118994,1.4230239415744208,1.2824884051981513,1.4126145332486715,45,43,0.5116279069767442,False,muere en la correccion (FDR q=0.1),corto
ll_vol_hi_6 bajo | vol,21935,52.728516070207434,1.4785160702074407,6.096206708468782e-06,0.8685,51.42563519590989,1.3028808742975428,1.2336206495980662,1.3946167255378796,48,48,0.4583333333333333,False,muere en la correccion (FDR q=0.1),corto
ll_vol_lo_12 alto | vol,21889,52.720544565763625,1.4705445657636318,6.934640466180894e-06,0.2115,51.40163829780299,1.3189062679606351,1.2339519955344826,1.3839962338676344,48,48,0.5625,False,muere en la correccion (FDR q=0.1),corto
ll_tk_lo_6 alto | vol,21957,52.71211914195928,1.4621191419592847,7.533400897048905e-06,0.1935,51.35148581339587,1.3606333285634093,1.2298368406415179,1.3789273609966202,48,48,0.5833333333333334,False,muere en la correccion (FDR q=0.1),corto
