feature,n,p_up,p_dn,p_dir,lift_up,lift_dir,asimetria,ret_med,ret_media,dir_sin_top3,ventanas_ok
vol_168 bajo,297,0.16498316498316498,0.12794612794612795,0.43097643097643096,0.9514029180695848,1.0719333914222093,1.2894736842105263,-0.10754553339115347,-0.0041441337830783265,1.0220214928841127,0.5454545454545454
rango_168 bajo,297,0.1414141414141414,0.1414141414141414,0.3838383838383838,0.8154882154882155,0.9546906767354052,1.0,-0.12222222222222223,-0.043338341089536526,0.9084528584052751,0.5
compresion alto,341,0.20234604105571846,0.2404692082111437,0.4252199413489736,1.1668621700879764,1.0576157327162172,0.8414634146341463,-0.16007653061224492,-0.07899503644486423,1.0227822400047775,0.45454545454545453
atr_24 bajo,297,0.13468013468013468,0.16161616161616163,0.43097643097643096,0.77665544332211,1.0719333914222093,0.8333333333333333,-0.10754553339115347,-0.058111868186513226,1.0458630149358201,0.5454545454545454
roc_720 bajo,291,0.1958762886597938,0.23711340206185566,0.436426116838488,1.129553264604811,1.085487961529594,0.8260869565217391,-0.12760416666666663,-0.006922706327546538,1.0633098566457237,0.5813953488372093
roc_24 alto,341,0.23460410557184752,0.30791788856304986,0.41348973607038125,1.3528836754643208,1.0284401262964595,0.761904761904762,-0.16007653061224492,-0.0657231974508222,1.015033889701711,0.4772727272727273
dd_720 alto,341,0.20234604105571846,0.2727272727272727,0.39296187683284456,1.1668621700879764,0.9773828150618834,0.7419354838709677,-0.15441176470588236,-0.03288021115657323,0.9366431431229022,0.5227272727272727
roc_168 bajo,297,0.18518518518518517,0.25252525252525254,0.4444444444444444,1.067901234567901,1.1054313099041533,0.7333333333333333,-0.1415701415701417,-0.08630762331497464,1.08647535783901,0.5681818181818182
rs_168 bajo,297,0.18518518518518517,0.25252525252525254,0.4444444444444444,1.067901234567901,1.1054313099041533,0.7333333333333333,-0.1415701415701417,-0.08630762331497464,1.08647535783901,0.5681818181818182
vol_24 bajo,297,0.1447811447811448,0.2053872053872054,0.4107744107744108,0.8349046015712683,1.0216865136992934,0.7049180327868853,-0.12142637565324321,-0.019182838275901445,0.9860052487448654,0.5227272727272727
roc_24 bajo,297,0.21548821548821548,0.30976430976430974,0.43434343434343436,1.242648709315376,1.0803078710426954,0.6956521739130435,-0.15662650602409633,-0.1114864270685427,1.0267529248575944,0.6136363636363636
roc_72 alto,341,0.2316715542521994,0.33724340175953077,0.3841642228739003,1.3359726295210166,0.9555011102470652,0.6869565217391305,-0.17639593908629436,-0.07655536075390622,0.922053686064913,0.5
rs_168 alto,341,0.25219941348973607,0.36950146627565983,0.3870967741935484,1.4543499511241447,0.9627950118520046,0.6825396825396826,-0.1824301581958936,-0.06621358457629467,0.9080328617069832,0.45454545454545453
roc_168 alto,341,0.25219941348973607,0.36950146627565983,0.3870967741935484,1.4543499511241447,0.9627950118520046,0.6825396825396826,-0.1824301581958936,-0.06621358457629467,0.9080328617069832,0.45454545454545453
pos_168 bajo,297,0.17845117845117844,0.265993265993266,0.39730639730639733,1.0290684624017956,0.9881885952173494,0.670886075949367,-0.17665467324910056,-0.11325423708730699,0.9682393884071201,0.5227272727272727
rango_168 alto,341,0.2434017595307918,0.3782991202346041,0.40175953079178883,1.4036168132942326,0.9992645198767016,0.6434108527131783,-0.18999073215940687,-0.1296013829844241,0.969859545481946,0.45454545454545453
atr_24 alto,341,0.25219941348973607,0.39296187683284456,0.3870967741935484,1.4543499511241447,0.9627950118520046,0.6417910447761195,-0.20289855072463758,-0.1024303363269549,0.9336884328922305,0.4318181818181818
vol_24 alto,341,0.22580645161290322,0.36656891495601174,0.39002932551319647,1.3021505376344087,0.970088913456944,0.616,-0.20289855072463758,-0.11379448656004598,0.9431661634962043,0.4090909090909091
vol_168 alto,341,0.24633431085043989,0.41055718475073316,0.3724340175953079,1.4205278592375368,0.9263255038273075,0.6,-0.19832938254882038,-0.13381509971819433,0.8500626845149027,0.4090909090909091
pos_168 alto,341,0.18475073313782991,0.31378299120234604,0.3782991202346041,1.0653958944281525,0.9409133070371863,0.588785046728972,-0.16758074344911644,-0.06944170419985629,0.8916450660075954,0.4772727272727273
dd_168 alto,341,0.15542521994134897,0.2668621700879765,0.36656891495601174,0.8962854349951125,0.9117377006174286,0.5824175824175825,-0.14118705035971213,-0.06213467194354003,0.8953993610223643,0.3409090909090909
roc_720 alto,334,0.2215568862275449,0.38323353293413176,0.36826347305389223,1.2776447105788424,0.9159524401675883,0.578125,-0.18660058631518317,-0.08888065573470146,0.8738882652620673,0.3953488372093023
dd_168 bajo,297,0.20202020202020202,0.36363636363636365,0.41414141414141414,1.164983164983165,1.0300609933197793,0.5555555555555556,-0.17665467324910056,-0.11528954289573723,1.0056631411402406,0.5454545454545454
roc_72 bajo,297,0.15488215488215487,0.3063973063973064,0.4006734006734007,0.8931537598204264,0.9965630748378353,0.5054945054945055,-0.15420251489080083,-0.108649742896294,0.966764131453279,0.5454545454545454
dd_720 bajo,297,0.18855218855218855,0.37373737373737376,0.3602693602693603,1.087317620650954,0.8960693193920032,0.5045045045045045,-0.19832938254882038,-0.11961618149908826,0.841132733081615,0.4318181818181818
compresion bajo,297,0.15151515151515152,0.3501683501683502,0.3602693602693603,0.8737373737373738,0.8960693193920032,0.4326923076923077,-0.17665467324910056,-0.12241254387342285,0.8139994191112402,0.45454545454545453
